BEGIN
UPDATE 19
 id_area_type |             nm_area_type              | nm_area_type_short | pr_lead |     dt_data_del     
          118 | Территория ДПК                        | тер. ДПК           |       0 | 
          119 | Территория ОНО                        | тер. ОНО           |       0 | 
          120 | Территория ОНП                        | тер. ОНП           |       0 | 
          121 | Территория ОНТ                        | тер. ОНТ           |       0 | 
          122 | Территория ОПК                        | тер. ОПК           |       0 | 
          123 | Территория ПК                         | тер. ПК            |       0 | 
          124 | Территория СНО                        | тер. СНО           |       0 | 
          125 | Территория СНП                        | тер. СНП           |       0 | 
          126 | Территория СПК                        | тер. СПК           |       0 | 
          127 | Территория ТСЖ                        | тер. ТСЖ           |       0 | 
          128 | Территория СОСН                       | тер.СОСН           |       0 | 
          129 | Территория ФХ                         | тер.ф.х.           |       0 | 
          130 | Тракт                                 | тракт              |       0 | 2023-11-15 00:00:00
          131 | Тупик                                 | туп.               |       0 | 2023-11-15 00:00:00
          132 | Усадьба                               | ус.                |       0 | 
          133 | Фермерское хозяйство                  | ф/х                |       0 | 
          134 | Шоссе                                 | ш.                 |       0 | 2023-11-15 00:00:00
          135 | Юрты                                  | ю.                 |       0 | 
          136 | городское поселение                   | г.п.               |       0 | 
          137 | внутригородской район                 | вн.р-н             |       0 | 
          138 | межселенная территория                | межсел.тер         |       0 | 
          139 | Муниципальный округ                   | м.о.               |       0 | 
          140 | Поселок при станции (поселок станции) | п. ст.             |       0 | 
          141 | Садовое товарищество                  | с/т                |       0 | 
          142 | Выселки                               | в-ки               |       0 | 
(142 строки)

COMMIT
BEGIN
UPDATE 19
 id_street_type |       nm_street_type       | nm_street_type_short |     dt_data_del     
----------------+----------------------------+----------------------+---------------------
              1 | Аллея                      | аллея                | 
              2 | Бульвар                    | б-р                  | 
              3 | Балка                      | балка                | 
              4 | Берег                      | берег                | 2023-11-15 00:00:00
              5 | Бугор                      | бугор                | 
              6 | Бухта                      | бухта                | 
              7 | Вал                        | вал                  | 
              8 | Въезд                      | въезд                | 
              9 | Заезд                      | заезд                | 
             10 | Зона                       | зона                 | 
             11 | Канал                      | канал                | 
             12 | Квартал                    | кв-л                 | 2023-11-15 00:00:00
             13 | Кольцо                     | кольцо               | 
             14 | Коса                       | коса                 | 2023-11-15 00:00:00
             15 | Линия                      | линия                | 
             16 | Микрорайон                 | мкр.                 | 2023-11-15 00:00:00
             17 | Набережная                 | наб.                 | 
             18 | Парк                       | парк                 | 2023-11-15 00:00:00
             19 | Переулок                   | пер.                 | 
             20 | Переезд                    | переезд              | 
             21 | Площадь                    | пл.                  | 
             22 | Проспект                   | пр-кт                | 
             23 | Проезд                     | проезд               | 
             24 | Просек                     | просек               | 
             25 | Просека                    | просека              | 
             26 | Проток                     | проток               | 
             27 | Проулок                    | проулок              | 
             28 | Разъезд                    | рзд                  | 
             29 | Ряды                       | ряды                 | 
             30 | Сад                        | сад                  | 2023-11-15 00:00:00
             31 | Сквер                      | сквер                | 
             32 | Спуск                      | спуск                | 
             33 | Станция                    | ст.                  | 2023-11-15 00:00:00
             34 | Территория                 | тер.                 | 2023-11-15 00:00:00
             35 | тоннель                    | тоннель              | 
             36 | Тракт                      | тракт                | 
             37 | Тупик                      | туп.                 | 
             38 | Улица                      | ул.                  | 
             39 | Участок                    | уч-к                 | 
             40 | Шоссе                      | ш.                   | 
             41 | Платформа                  | платф.               | 2023-11-15 00:00:00
             42 | Километр                   | км.                  | 2023-11-15 00:00:00
             43 | Городок                    | г-к                  | 2023-11-15 00:00:00
             44 | Гаражно-строительный кооп. | гск                  | 2023-11-15 00:00:00
